0,1,10,0,0,0,,2
3,4,31,0,0,0,,2
5,6,34,0,0,0,,2
7,8,30,0,0,0,,2
8,7,36,0,0,0,,2
9,1,40,0,0,0,,2
10,11,59,0,0,0,,2
12,11,59,0,0,0,,2
11,13,59,0,0,0,,2
14,15,104,0,0,0,,2
16,6,112,0,0,0,,2
17,18,115,0,0,0,,2
19,20,120,0,0,0,,2
21,22,125,0,0,0,,2
23,22,125,0,0,0,,2
22,24,125,0,0,0,,2
25,6,125,0,0,0,,2
26,20,130,0,0,0,,2
24,20,130,0,0,0,,2
27,20,130,0,0,0,,2
20,1,130,0,0,0,,2
28,29,135,1,0,0,,2
29,1,140,0,0,0,,2
13,1,315,0,0,0,,2
30,1,315,2,0,0,,2
1,1,320,3,0,0,,2
31,32,824,0,0,0,,2
33,4,1200,0,0,0,,2
4,34,1215,0,0,0,,2
35,36,1355,0,0,0,,2
37,38,1430,4,0,0,,2
39,40,1600,0,0,0,,2
40,41,1600,0,0,0,,2
42,43,1720,5,0,0,,2
41,44,1729,6,0,0,,2
45,46,2000,0,0,0,,2
38,34,2033,0,0,0,,2
47,34,2045,6,0,0,,2
48,46,2050,0,0,0,,2
49,46,2050,0,0,0,,2
50,51,2100,0,0,0,,2
46,34,2114,0,0,0,,2
34,51,2114,0,0,0,,2
51,34,2114,0,0,0,,2
32,52,2350,0,0,0,,2
53,54,2355,0,0,0,,2
55,56,2355,0,0,0,,2
57,15,2400,0,0,0,,2
58,43,2400,0,0,0,,2
52,15,2400,0,0,0,,2
54,6,2400,0,0,0,,2
59,43,2400,0,0,0,,2
6,60,2400,0,0,0,,2
15,61,2404,0,0,0,,2
61,43,2405,0,0,0,,2
62,63,,7,0,0,,2
64,63,,7,0,0,,2
18,65,4030,0,0,0,,2
44,66,4315,0,0,0,,2
67,68,4415,8,0,0,,2
68,43,4600,0,0,0,,2
69,36,6010,0,0,0,,2
65,63,6600,9,0,0,,2
70,71,6710,10,0,0,,2
71,70,6710,10,0,0,,2
72,2,6900,11,0,0,,2
66,43,8905,0,0,0,,2
43,36,8906,0,0,0,,2
36,2,11405,0,0,0,,2
,,,,,,,
73,36,1,0,0,1,,15
66,15,15,0,0,1,,15
38,16,100,0,0,1,,15
74,33,1115,0,0,1,,15
75,15,1800,0,0,1,,15
68,36,1900,0,0,1,,15
35,76,1911,0,0,1,,15
33,57,1930,0,0,1,,15
2,77,2412,12,0,1,,15
77,15,2434,12,0,1,,15
61,18,4120,0,0,1,,15
72,78,4410,13,0,1,,15
19,48,4420,0,0,1,,15
48,12,4741,0,0,1,,15
79,12,4800,14,0,1,,15
45,46,5845,0,0,1,,15
26,51,5915,0,0,1,,15
76,12,6015,0,0,1,,15
80,18,6134,0,0,1,,15
16,18,6315,0,0,1,,15
18,12,6615,0,0,1,,15
57,15,6730,11,0,1,,15
53,51,6900,0,0,1,,15
81,63,7200,15,0,1,,15
36,63,8055,9,0,1,,15
46,51,9045,0,0,1,,15
12,15,9330,0,0,1,,15
51,15,13720,16,0,1,,15
,,,,,,,
82,29,30,17,1,0,0,83
8,84,45,17,1,0,1,83
85,29,45,17,1,0,1,83
17,34,45,17,1,0,2,83
84,29,46,17,1,0,1,83
11,34,49,17,1,0,3,83
86,87,110,17,1,0,1,83
88,89,120,17,1,0,1,83
9,18,120,17,1,0,3,83
90,91,122,4,1,0,1,83
92,93,125,17,1,0,1,83
94,91,126,4,1,0,1,83
95,96,127,17,1,0,4,83
87,15,130,17,1,0,1,83
97,34,130,17,1,0,1,83
98,91,135,4,1,0,1,83
96,34,140,17,1,0,5,83
34,96,140,17,1,0,5,83
99,18,140,17,1,0,5,83
91,100,215,17,1,0,1,83
101,15,220,17,1,0,1,83
102,29,230,17,1,0,0,83
102,0,230,17,1,0,0,83
29,18,230,17,1,0,0,83
0,18,230,17,1,0,0,83
103,26,300,18,1,0,6,83
104,105,1220,17,1,0,7,83
79,18,1235,17,1,0,8,83
106,59,1355,19,1,0,9,83
28,107,1400,17,1,0,10,83
107,108,1440,17,1,0,11,83
109,57,1527,17,1,0,12,83
44,43,1535,17,1,0,0,83
110,32,1537,17,1,0,13,83
111,93,1545,19,1,0,0,83
